method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,116,11600,130.362,1231592,9414,1047,1.5171,19.263,0.7319,-0.0599,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,117,11700,131.953,1237791,7046,847,1.5906,19.324,0.7324,-0.0955,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,118,11800,133.469,1245807,9025,1009,1.5164,19.235,0.7293,-0.0736,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,119,11900,135.073,1252880,8021,948,1.6042,19.302,0.7354,-0.0761,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,120,12000,136.666,1259409,7395,866,1.5924,19.287,0.7352,-0.0977,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,121,12100,138.248,1267135,8784,1058,1.5822,19.162,0.7358,-0.0774,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,122,12200,139.793,1274538,8344,941,1.5454,19.348,0.7379,-0.0658,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,123,12300,141.306,1280953,7314,899,1.5124,19.234,0.7354,-0.1082,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,124,12400,142.862,1287001,6984,936,1.5562,19.42,0.741,-0.0673,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,125,12500,144.424,1293658,7567,910,1.5621,19.325,0.7405,-0.0802,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,126,12600,146.004,1300935,8350,1073,1.5797,19.535,0.7424,-0.0736,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,127,12700,147.559,1306578,6582,939,1.5554,19.224,0.7378,-0.1603,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,128,12800,149.129,1312445,6663,796,1.5703,19.506,0.7441,-0.0679,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,129,12900,150.698,1318500,7045,990,1.5685,19.397,0.741,-0.0746,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,130,13000,152.268,1325763,8204,941,1.5698,19.478,0.7398,-0.0767,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
