method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,104,10400,106.82,1137805,10244,982,1.3491,19.267,0.726,-0.1126,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,105,10500,108.215,1144444,7622,983,1.3947,19.331,0.7271,-0.028,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,106,10600,109.558,1154368,10909,985,1.3435,19.186,0.7256,-0.1389,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,107,10700,110.985,1163131,9738,975,1.4262,19.243,0.7297,-0.0701,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,108,10800,112.414,1173263,11153,1021,1.4293,19.127,0.726,-0.0657,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,109,10900,113.821,1182354,10085,994,1.4068,18.929,0.7267,-0.1494,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,110,11000,115.254,1190286,8890,958,1.4329,19.287,0.7315,-0.0472,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,111,11100,116.701,1197765,8582,1103,1.4475,19.113,0.7272,-0.1187,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,112,11200,118.081,1207543,10727,949,1.3799,19.191,0.7309,-0.0665,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,113,11300,119.484,1214823,8262,982,1.403,19.137,0.7286,-0.0566,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,114,11400,120.896,1222654,8792,961,1.4122,19.366,0.734,-0.0605,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,115,11500,122.314,1229922,8285,1017,1.4177,19.243,0.7294,-0.1047,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,116,11600,123.753,1238077,9136,981,1.4396,19.335,0.7321,-0.0552,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,117,11700,125.202,1244148,6987,916,1.4481,19.367,0.7339,-0.0896,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,118,11800,126.615,1252080,8980,1048,1.4138,19.316,0.7306,-0.0579,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,119,11900,128.063,1259004,7904,980,1.4476,19.414,0.737,-0.0694,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,120,12000,129.521,1265385,7328,947,1.4584,19.253,0.7344,-0.1308,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,121,12100,130.991,1273027,8743,1101,1.4703,19.224,0.7358,-0.0756,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,122,12200,132.429,1280242,8245,1030,1.4375,19.344,0.7376,-0.0622,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,123,12300,133.907,1286551,7270,961,1.4781,19.396,0.7382,-0.0636,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,124,12400,135.397,1292544,6943,950,1.49,19.498,0.742,-0.0638,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,125,12500,136.846,1299090,7521,975,1.4491,19.274,0.7398,-0.1435,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
